date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2016-07-21,8991.33,9007.55,9065.69,8964.62,123864174.0,187059019776.0,1.12,0.11,9.66,1.24
2016-07-22,9002.09,8931.97,9022.06,8925.94,119719642.0,181249323008.0,1.07,-0.84,-75.58,1.2
2016-07-25,8911.94,8925.34,8969.6,8875.78,110849152.0,166597861376.0,1.05,-0.07,-6.63,1.11
2016-07-26,8922.75,9035.56,9035.88,8922.75,108617971.0,156691959808.0,1.27,1.23,110.22,1.09
2016-07-27,9037.5,8602.92,9046.08,8488.95,183550034.0,261486661632.0,6.17,-4.79,-432.64,1.84
2016-07-28,8580.09,8571.56,8636.49,8431.12,124905321.0,176573206528.0,2.39,-0.36,-31.36,1.26
2016-07-29,8565.25,8501.09,8584.64,8457.97,93736940.0,131143307264.0,1.48,-0.82,-70.47,0.94
2016-08-01,8462.91,8363.61,8462.91,8263.36,92963397.0,128066613248.0,2.35,-1.62,-137.48,0.93
2016-08-02,8353.42,8445.78,8446.36,8353.14,74035891.0,101876043776.0,1.11,0.98,82.17,0.74
2016-08-03,8431.52,8482.2,8491.26,8412.78,90593224.0,120854642688.0,0.93,0.43,36.42,0.91
2016-08-04,8474.26,8553.01,8564.84,8447.36,96134387.0,132268597248.0,1.39,0.83,70.81,0.97
2016-08-05,8545.86,8505.36,8571.18,8498.59,92599575.0,124298674176.0,0.85,-0.56,-47.65,0.93
2016-08-08,8480.79,8607.4,8607.45,8426.64,94418365.0,124431704064.0,2.13,1.2,102.04,0.95
2016-08-09,8601.84,8699.39,8699.69,8596.79,111616975.0,145633337344.0,1.2,1.07,91.99,1.12
2016-08-10,8694.38,8671.78,8725.45,8668.06,107888604.0,143544115200.0,0.66,-0.32,-27.61,1.08
2016-08-11,8647.12,8531.69,8667.25,8531.69,101674089.0,132412911616.0,1.56,-1.62,-140.09,1.02
2016-08-12,8515.52,8615.05,8615.2,8507.65,89999875.0,114363858944.0,1.26,0.98,83.36,0.9
2016-08-15,8628.63,8807.83,8821.69,8590.06,147277988.0,195277197312.0,2.69,2.24,192.78,1.48
2016-08-16,8813.21,8877.07,8903.49,8812.6,139697288.0,191606185984.0,1.03,0.79,69.24,1.4
2016-08-17,8867.46,8911.75,8933.03,8846.32,125914785.0,178017341440.0,0.98,0.39,34.68,1.27
2016-08-18,8899.19,8908.32,8942.57,8880.26,135852419.0,182170472448.0,0.7,-0.04,-3.43,1.37
2016-08-19,8895.3,8923.36,8945.17,8864.07,113786263.0,156996829184.0,0.91,0.17,15.04,1.14
2016-08-22,8921.91,8810.84,8939.7,8809.22,116515709.0,160225222656.0,1.46,-1.26,-112.52,1.17
2016-08-23,8796.5,8820.21,8847.65,8756.92,102217500.0,138074214400.0,1.03,0.11,9.37,1.03
2016-08-24,8824.72,8850.51,8892.08,8815.47,96568448.0,137489346560.0,0.87,0.34,30.3,0.97
2016-08-25,8799.76,8784.58,8799.76,8681.19,109264243.0,151154130944.0,1.34,-0.74,-65.93,1.1
2016-08-26,8799.49,8814.46,8883.77,8794.91,101766106.0,147694792704.0,1.01,0.34,29.88,1.02
2016-08-29,8808.73,8836.99,8860.04,8798.06,92119544.0,129587994624.0,0.7,0.26,22.53,0.93
2016-08-30,8842.42,8838.46,8886.01,8822.25,91810803.0,125029580800.0,0.72,0.02,1.47,0.92
2016-08-31,8833.21,8838.38,8844.47,8772.95,89379218.0,122279403520.0,0.81,0.0,-0.08,0.9
2016-09-01,8831.6,8770.75,8851.75,8770.75,98825372.0,132387758080.0,0.92,-0.77,-67.63,0.99
2016-09-02,8750.94,8724.94,8790.0,8675.92,92456763.0,124613169152.0,1.3,-0.52,-45.81,0.93
2016-09-05,8743.74,8761.96,8804.77,8739.65,88919084.0,117745328128.0,0.75,0.42,37.02,0.89
2016-09-06,8761.42,8906.87,8907.17,8689.65,115145508.0,157554171904.0,2.48,1.65,144.91,1.16
2016-09-07,8908.51,8897.8,8959.99,8886.79,125540068.0,171722088448.0,0.82,-0.1,-9.07,1.26
2016-09-08,8888.01,8938.43,8939.42,8880.4,104444234.0,141943742464.0,0.66,0.46,40.63,1.05
2016-09-09,8934.27,8872.31,8958.51,8872.31,108190052.0,144998518784.0,0.96,-0.74,-66.12,1.09
2016-09-12,8705.75,8587.4,8737.99,8585.87,117367565.0,151318777856.0,1.71,-3.21,-284.91,1.18
2016-09-13,8635.58,8656.68,8664.91,8595.5,88810716.0,115638611968.0,0.81,0.81,69.28,0.89
2016-09-14,8612.7,8618.15,8664.1,8579.35,85065787.0,108616695808.0,0.98,-0.45,-38.53,0.85
2016-09-19,8630.65,8716.49,8716.98,8630.65,79058353.0,103063216128.0,1.0,1.14,98.34,0.79
2016-09-20,8721.38,8712.28,8724.89,8685.97,80607040.0,105440722944.0,0.45,-0.05,-4.21,0.81
2016-09-21,8705.25,8732.0,8756.13,8704.93,76784212.0,100485672960.0,0.59,0.23,19.72,0.77
2016-09-22,8779.89,8770.09,8801.57,8760.15,91791037.0,120755965952.0,0.47,0.44,38.09,0.92
2016-09-23,8773.9,8729.61,8781.25,8728.06,89465761.0,118754332672.0,0.61,-0.46,-40.48,0.9
2016-09-26,8711.88,8544.18,8712.23,8544.18,96348977.0,126222278656.0,1.93,-2.12,-185.43,0.97
2016-09-27,8521.01,8604.1,8604.55,8477.8,82333481.0,104531099648.0,1.48,0.7,59.92,0.83
2016-09-28,8604.24,8592.13,8613.14,8575.03,75728269.0,94689853440.0,0.44,-0.14,-11.97,0.76
2016-09-29,8597.29,8618.61,8651.21,8597.25,76203282.0,94588141568.0,0.63,0.31,26.48,0.77
2016-09-30,8607.97,8661.02,8669.15,8606.38,71987187.0,89522110464.0,0.73,0.49,42.41,0.72
